iter	Passed	Remaining
0	2	244
1	5	215
2	6	193
3	8	172
4	9	159
5	11	152
6	12	147
7	14	143
8	15	137
9	17	134
10	18	131
11	20	130
12	23	133
13	24	130
14	26	128
15	28	126
16	29	124
17	31	121
18	32	118
19	33	115
20	35	112
21	36	109
22	37	106
23	38	103
24	40	101
25	41	98
26	42	96
27	43	93
28	44	91
29	46	88
30	47	86
31	48	84
32	49	82
33	50	80
34	51	78
35	52	76
36	53	74
37	55	72
38	56	71
39	58	70
40	60	69
41	62	68
42	63	66
43	64	64
44	66	63
45	67	61
46	68	59
47	69	58
48	71	56
49	72	54
50	73	53
51	74	51
52	75	50
53	77	48
54	78	46
55	79	45
56	80	43
57	81	42
58	83	40
59	84	39
60	85	37
61	86	36
62	87	34
63	88	33
64	89	31
65	90	30
66	91	28
67	92	27
68	94	25
69	95	24
70	96	23
71	97	21
72	98	20
73	99	18
74	100	17
75	102	16
76	103	14
77	104	13
78	105	11
79	106	10
80	107	9
81	108	7
82	110	6
83	111	5
84	112	3
85	113	2
86	114	1
87	116	0
